Church,District Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mabhiza,Chipinge South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manyezu,Chipinge South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manzvire,Chipinge South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maparadze,Chipinge South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mariya,Chipinge South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maronga,Chipinge South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutovhoti,Chipinge South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mwacheta,Chipinge South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rimbi,Chipinge South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tongogara,Chipinge South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adelaide Park,Chiremba Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunway City,Chiremba Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victory Park,Chiremba Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victory Park North,Chiremba Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victory Park West,Chiremba Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Windsor Main,Chiremba Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Windsor South,Chiremba Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chadcombe,Chiremba North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cranborne,Chiremba North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillside,Chiremba North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Msasa Park,Chiremba North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Msasa Park East,Chiremba North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Msasa Zrp,Chiremba North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queensdale,Chiremba North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domboramwari,Chiremba South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domboramwari West,Chiremba South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenfield,Chiremba South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenwood,Chiremba South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Valley,Chiremba South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Living Hope,Chiremba South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makomo East,Chiremba South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makomo Main,Chiremba South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makomo South,Chiremba South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muguta,Chiremba South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muguta East,Chiremba South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bethel,Chiremba West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hatfield Central,Chiremba West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hatfield Sda Main,Chiremba West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hatfield South,Chiremba West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,Chiremba West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logan Park,Chiremba West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Park Meadowlands,Chiremba West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prospect Park,Chiremba West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zimphoss,Chiremba West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seke 7,Chitungwiza Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seke South,Chitungwiza Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seke West,Chitungwiza Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southview,Chitungwiza Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zengeza 4,Chitungwiza Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zengeza 4 South,Chitungwiza Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collegeview,Chitungwiza East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Valley Chitungwiza,Chitungwiza East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lakeside,Chitungwiza East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macedonia,Chitungwiza East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riverside Park - Chitungwiza East,Chitungwiza East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seke East,Chitungwiza East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seke North,Chitungwiza East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seke North East,Chitungwiza East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit O Central,Chitungwiza East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit O North,Chitungwiza East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit O South,Chitungwiza East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit P Ext,Chitungwiza East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chitungwiza Town Centre,Chitungwiza North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mayambara East,Chitungwiza North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parkview,Chitungwiza North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seke,Chitungwiza North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seke 8,Chitungwiza North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit A Extension,Chitungwiza North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit B Battle Creek,Chitungwiza North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zengeza 4 North,Chitungwiza North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blessed Hope,Chitungwiza South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centralview,Chitungwiza South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centralview South,Chitungwiza South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Valley,Chitungwiza South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seke Central,Chitungwiza South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seke South East,Chitungwiza South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Streamside,Chitungwiza South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit F Bethel,Chitungwiza South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chirasauta,Chivhu East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chivhu West - Head Quarters,Chivhu East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cold Streams,Chivhu East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dhombo,Chivhu East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domboidzva,Chivhu East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dzidze,Chivhu East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gandami,Chivhu East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gokomere,Chivhu East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makonwe,Chivhu East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makungurubwe,Chivhu East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manyanga,Chivhu East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mapukutu,Chivhu East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mashayamvura Chivhu,Chivhu East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mhari,Chivhu East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muguza,Chivhu East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muvhuti,Chivhu East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nhangabwe,Chivhu East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redhill,Chivhu East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sadza,Chivhu East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sanganai,Chivhu East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tasarirenhamo,Chivhu East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tawombera West,Chivhu East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warikandwa,Chivhu East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banza,Chivhu West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
